# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 01 13:31:31 PDT 2023 [seed=1682973089802]
# -save_state saved_state -save_every 100000 -threads 1 -beagle_GPU -beagle_cuda -beagle_scaling dynamic infile.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-58379.63746127114	-83.6577704681836	-58295.97969080295	2.145768551273828	10.3803399786492	1.0	1.0	1.0	-58295.97969080295	0.0	-83.6577704681836
1000	-35802.888304539214	-274.4471579075049	-35528.44114663171	2.2889879578335224	42.35363416372285	10.310307740763177	1.0	1.0	-35528.44114663171	0.0	-272.1140137611569
2000	-30773.782882457344	-256.4179890333421	-30517.364893424	1.189136025539171	30.102238587660928	8.721882955701615	1.0	1.0	-30517.364893424	0.0	-254.252153883445
3000	-27339.26220275925	-248.61519848729097	-27090.64700427196	1.1531032916125203	27.467009471423975	7.863223725023968	1.0	1.0	-27090.64700427196	0.0	-246.55300182180272
4000	-24103.836735111174	-223.98899960030656	-23879.847735510866	0.9099547843367339	22.106073514952325	5.230676774472546	1.0	1.0	-23879.847735510866	0.0	-222.3344589282167
5000	-21934.133718891168	-211.46939933039027	-21722.664319560776	0.8909849199232466	19.660496837882974	5.389063258378155	1.0	1.0	-21722.664319560776	0.0	-209.78502775308172
6000	-20460.829832731277	-195.68721458856737	-20265.14261814271	0.9706243156401007	17.798009795226672	3.479374155991149	1.0	1.0	-20265.14261814271	0.0	-194.4403621511866
7000	-20111.89122114576	-195.00315274413632	-19916.888068401626	0.8340714247049699	17.33529815213066	4.439111024556287	1.0	1.0	-19916.888068401626	0.0	-193.51269860743335
8000	-20050.289303213067	-191.7479161672146	-19858.54138704585	0.8427258515983898	17.160789311000443	3.9122026898565077	1.0	1.0	-19858.54138704585	0.0	-190.38381560404875
9000	-19962.405096145572	-186.50464400490827	-19775.900452140664	0.8470034744636391	16.748841382160037	3.495843714355047	1.0	1.0	-19775.900452140664	0.0	-185.2530692522461
10000	-19937.21896559143	-188.00181506454035	-19749.21715052689	0.8459801810281804	16.8497866483851	3.853042456443601	1.0	1.0	-19749.21715052689	0.0	-186.65295197989565
11000	-19919.840550558754	-189.21411905130105	-19730.626431507455	0.8316442003304682	17.097643038273237	4.4524642334892475	1.0	1.0	-19730.626431507455	0.0	-187.72066134805692
12000	-19907.495547903123	-190.14194496084667	-19717.353602942276	0.8954087096721178	17.461446034895765	3.2756776606167284	1.0	1.0	-19717.353602942276	0.0	-188.95542019389202
13000	-19905.97441917213	-191.63040285924984	-19714.34401631288	0.8910176383021505	17.999821565734944	4.339577139392323	1.0	1.0	-19714.34401631288	0.0	-190.1626259492042
14000	-19910.30800438862	-191.31536249555862	-19718.99264189306	0.8764953950877254	17.87787594810892	4.650983649076593	1.0	1.0	-19718.99264189306	0.0	-189.77828376089442
15000	-19902.605123706166	-187.37128445711107	-19715.233839249053	0.8617566387101192	17.057211938744945	4.155649624090399	1.0	1.0	-19715.233839249053	0.0	-185.94681569346983
16000	-19895.08767887172	-187.1322309875168	-19707.955447884204	0.8657941240691216	17.08859295909846	3.9891000095561746	1.0	1.0	-19707.955447884204	0.0	-185.7486653435726
17000	-19899.443500326055	-190.79132218035576	-19708.652178145698	0.8780014613405268	17.86220943934627	4.311519265328515	1.0	1.0	-19708.652178145698	0.0	-189.3300318405968
18000	-19896.87167968551	-187.47810128489135	-19709.39357840062	0.8159872197111818	17.3919592100462	3.9189057563456746	1.0	1.0	-19709.39357840062	0.0	-186.11228881384622
19000	-19906.510682362525	-187.75786656456935	-19718.752815797954	0.9368854533949231	17.605294480142156	3.75814651695814	1.0	1.0	-19718.752815797954	0.0	-186.4339406763237
20000	-19880.100656494247	-187.81617683980417	-19692.28447965444	0.9229502772869497	17.249508182099554	4.354008815173418	1.0	1.0	-19692.28447965444	0.0	-186.34507985237894
21000	-19851.806091373892	-188.8527970098055	-19662.953294364088	0.9056363047003839	17.7224615023553	3.9084517554874423	1.0	1.0	-19662.953294364088	0.0	-187.4896556846888
22000	-19838.300637042004	-189.40717340932918	-19648.893463632674	0.8869692085506572	17.860977561027585	3.5372907893137278	1.0	1.0	-19648.893463632674	0.0	-188.14381228893876
23000	-19841.4034005929	-189.61788951426743	-19651.785511078633	0.9349799145879286	17.627040472361937	3.541483023706431	1.0	1.0	-19651.785511078633	0.0	-188.35334394159938
24000	-19825.957350129192	-188.4760448700077	-19637.481305259185	0.8791963633923634	17.41526151839566	3.7362517733537914	1.0	1.0	-19637.481305259185	0.0	-187.15796196075715
25000	-19825.061319590135	-188.4263110185889	-19636.635008571546	0.8863885010468786	17.515751246539796	3.887179908037458	1.0	1.0	-19636.635008571546	0.0	-187.06862708324206
26000	-19829.128777112313	-190.89477495716827	-19638.234002155146	0.9225663309317356	17.80635395649068	3.1808059752187288	1.0	1.0	-19638.234002155146	0.0	-189.7376403411629
27000	-19821.639109094438	-189.2048552103954	-19632.434253884043	0.900315117311857	17.13394532411472	2.9599346763390697	1.0	1.0	-19632.434253884043	0.0	-188.1196880111073
28000	-19823.979909913684	-188.2432604925487	-19635.736649421135	0.8890105158496077	17.31889985827301	4.010984093753101	1.0	1.0	-19635.736649421135	0.0	-186.8542238714248
29000	-19821.84008690557	-191.16245911113052	-19630.677627794437	0.8889776575399098	17.782056621380764	4.0713484591342555	1.0	1.0	-19630.677627794437	0.0	-189.75848484980867
30000	-19823.437088891093	-188.11955359253813	-19635.317535298553	0.8637339294837214	17.35228536481482	3.992893721633013	1.0	1.0	-19635.317535298553	0.0	-186.7350373809813
31000	-19809.62494087821	-190.35009210643094	-19619.27484877178	1.049409044679868	18.123957329293606	3.7757220566325578	1.0	1.0	-19619.27484877178	0.0	-189.02150046874021
32000	-19814.873949373887	-189.43385857110025	-19625.440090802786	0.9760597466162872	17.692864520345143	4.453756849459017	1.0	1.0	-19625.440090802786	0.0	-187.94011059525525
33000	-19802.808756923958	-187.7260328481434	-19615.082724075815	0.8697062043383973	17.283158028861273	3.6420340844497785	1.0	1.0	-19615.082724075815	0.0	-186.4334905081641
