# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue May 02 21:10:47 PDT 2023 [seed=1683087046578]
# -save_state saved_state -save_every 100000 -threads 1 -beagle_GPU -beagle_cuda -beagle_scaling dynamic infile.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-76388.65636206903	-73.23303074474876	-76315.42333132427	0.813947292886684	6.1945209314022085	1.0	1.0	1.0	-76315.42333132427	0.0	-73.23303074474876
1000	-46896.69397364785	-328.8298028559117	-46567.86417079194	1.4305009721488573	48.15764232690268	14.00039019653348	1.0	1.0	-46567.86417079194	0.0	-326.1907176555039
2000	-41612.725156075605	-329.559399310418	-41283.165756765186	1.6613864360639796	45.28701059957527	13.694483799951511	1.0	1.0	-41283.165756765186	0.0	-326.9424062010054
3000	-37499.88810555211	-298.3799090465195	-37201.508196505594	1.2330869572881478	33.87404920412026	9.970245688486838	1.0	1.0	-37201.508196505594	0.0	-296.0803038200724
4000	-34337.319017890586	-285.19981317208	-34052.1192047185	1.0167507814472045	30.184911282395944	9.796062644828535	1.0	1.0	-34052.1192047185	0.0	-282.9178326380709
5000	-32718.700939742306	-276.2610239903628	-32442.439915751944	0.9620943488173284	27.977949691478827	8.428992488986417	1.0	1.0	-32442.439915751944	0.0	-274.12934674043976
6000	-30294.67301834355	-270.6541744424977	-30024.018843901053	1.014228420941343	26.73711086599365	6.7858740169458525	1.0	1.0	-30024.018843901053	0.0	-268.7393313414501
7000	-27868.946063769967	-248.81111523995722	-27620.13494853001	0.8107786797881549	22.357205399396825	5.465572595369275	1.0	1.0	-27620.13494853001	0.0	-247.1126463488183
8000	-26496.57576897443	-240.70530375398343	-26255.870465220447	0.8821131511000205	21.619188212952526	5.320198844248774	1.0	1.0	-26255.870465220447	0.0	-239.03379307458988
9000	-25657.10902054261	-236.57107648420597	-25420.537944058407	0.9286303404902523	21.47380922980309	5.004922810599632	1.0	1.0	-25420.537944058407	0.0	-234.96065449401533
10000	-25391.31016768826	-234.6396543481971	-25156.670513340065	0.9203640299226837	21.563524900229798	4.565373430064014	1.0	1.0	-25156.670513340065	0.0	-233.12115403463406
11000	-25221.585313936142	-238.27321633230392	-24983.312097603837	0.9429259837555011	21.483298299394164	3.605916055929687	1.0	1.0	-24983.312097603837	0.0	-236.99064048679273
12000	-25155.761432330404	-228.5269546051141	-24927.23447772529	0.8483311342944236	20.592334901237244	4.915090755541785	1.0	1.0	-24927.23447772529	0.0	-226.93464438667186
13000	-25097.275751764897	-230.28026630912822	-24866.99548545577	0.8863841399010668	20.604548900671507	5.694794087402662	1.0	1.0	-24866.99548545577	0.0	-228.54071386961627
14000	-25032.16924680135	-227.95058771013754	-24804.218659091213	0.8712081499793082	20.668464545726778	5.054372042948409	1.0	1.0	-24804.218659091213	0.0	-226.33033409031768
15000	-24989.111380657156	-226.8796881320182	-24762.231692525136	0.8597754335224883	20.41333852276965	5.005137613868906	1.0	1.0	-24762.231692525136	0.0	-225.2692232243505
16000	-24976.590973972103	-228.62713972024818	-24747.963834251856	0.8665259941627952	20.41461010355164	5.660669540893521	1.0	1.0	-24747.963834251856	0.0	-226.8935975415851
17000	-24963.867595979933	-225.22234485450468	-24738.64525112543	0.8506156123335897	19.931460500288473	4.617088031423542	1.0	1.0	-24738.64525112543	0.0	-223.69258064435988
18000	-24967.849289238813	-227.6616593008636	-24740.18762993795	0.8385023226229349	19.75598777323962	3.435061372019494	1.0	1.0	-24740.18762993795	0.0	-226.42762450867653
19000	-24955.59017656453	-226.57886538973858	-24729.01131117479	0.932368518683073	20.248483451288152	5.167384375427681	1.0	1.0	-24729.01131117479	0.0	-224.93649875275568
20000	-24954.93312467095	-225.4159734808373	-24729.517151190114	0.9124770270685721	20.31469220624021	4.554437881081855	1.0	1.0	-24729.517151190114	0.0	-223.89987136474792
21000	-24945.801307021036	-228.24371501354713	-24717.557592007488	0.8954005857269518	20.28989058598407	3.614225857712377	1.0	1.0	-24717.557592007488	0.0	-226.95883732811336
