"","Query","Hit type","PSSM-ID","From","To","E-Value","Bitscore","Accession","Short name","Incomplete","Superfamily","Definition"
"1","Q#1 - >emb|CAB3359964.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",223104,25,430,2.49145e-27,113.16,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"2","Q#1 - >emb|CAB3359964.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",225802,55,372,2.84632e-07,52.7903,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"3","Q#2 - >emb|CAB3362979.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",223104,58,460,4.86985e-13,70.4027,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"4","Q#3 - >emb|CAB3360254.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",223104,136,535,2.55282e-26,111.619,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"5","Q#3 - >emb|CAB3360254.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",225802,136,391,8.56327e-10,61.2647,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"6","Q#4 - >emb|CAB3360255.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",223104,136,494,4.05765e-25,107.382,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"7","Q#4 - >emb|CAB3360255.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",225802,136,391,1.03425e-09,60.8795,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"8","Q#5 - >emb|CAB3360256.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",223104,165,523,7.29878e-26,110.078,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"9","Q#5 - >emb|CAB3360256.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",225802,165,420,5.31267e-10,62.0351,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"10","Q#6 - >emb|CAB3364807.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",223104,129,519,1.08723e-13,73.0991,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"11","Q#7 - >emb|CAB3364808.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",223104,19,431,1.01227e-17,85.0403,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"12","Q#8 - >emb|CAB3360257.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",223104,136,384,5.84183e-22,96.9815,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"13","Q#8 - >emb|CAB3360257.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",225802,136,391,7.21672e-10,60.8795,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"14","Q#9 - >emb|CAB3360258.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",223104,165,413,9.19215e-23,99.6779,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"15","Q#9 - >emb|CAB3360258.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",225802,165,420,3.32994e-10,62.0351,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"16","Q#10 - >gb|TRY75264.1|[hypothetical protein TCAL_08307 [Tigriopus californicus]]","superfamily",223104,163,544,7.91032e-27,112.775,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"17","Q#10 - >gb|TRY75264.1|[hypothetical protein TCAL_08307 [Tigriopus californicus]]","superfamily",225802,201,482,2.05206e-05,47.3976,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
