Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily	Definition
Q#1 - >emb|CAB3359964.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	223104	25	430	2.49145e-27	113.16	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#1 - >emb|CAB3359964.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	445285	35	430	6.73375e-16	78.836	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#1 - >emb|CAB3359964.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	225802	55	372	2.84632e-07	52.7903	cl34572	NhaP2 superfamily	C	 - 	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism].
Q#1 - >emb|CAB3359964.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	223551	32	444	3.32369e-07	52.2419	cl43152	KefB superfamily	 - 	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#1 - >emb|CAB3359964.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	235410	89	242	0.00448811	39.4138	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#2 - >emb|CAB3362979.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	223104	58	460	4.86985e-13	70.4027	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#2 - >emb|CAB3362979.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	445285	68	460	4.98431e-11	64.1984	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#2 - >emb|CAB3362979.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	223551	60	270	0.000183486	43.7675	cl43152	KefB superfamily	C	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#3 - >emb|CAB3360254.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	445285	144	529	5.8333e-30	121.593	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#3 - >emb|CAB3360254.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	223104	136	535	2.55282e-26	111.619	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#3 - >emb|CAB3360254.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	223551	129	540	1.56153e-18	88.0655	cl43152	KefB superfamily	 - 	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#3 - >emb|CAB3360254.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	225802	136	391	8.56327e-10	61.2647	cl34572	NhaP2 superfamily	C	 - 	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism].
Q#3 - >emb|CAB3360254.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	235410	152	391	7.08819e-09	58.2885	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#4 - >emb|CAB3360255.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	445285	144	493	1.54491e-28	116.586	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#4 - >emb|CAB3360255.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	223104	136	494	4.05765e-25	107.382	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#4 - >emb|CAB3360255.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	223551	129	446	7.8088e-18	85.3691	cl43152	KefB superfamily	C	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#4 - >emb|CAB3360255.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	225802	136	391	1.03425e-09	60.8795	cl34572	NhaP2 superfamily	C	 - 	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism].
Q#4 - >emb|CAB3360255.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	235410	152	391	7.07208e-09	58.2885	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#5 - >emb|CAB3360256.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	445285	173	522	1.42133e-29	120.052	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#5 - >emb|CAB3360256.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	223104	165	523	7.29878e-26	110.078	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#5 - >emb|CAB3360256.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	223551	158	475	9.60298e-19	88.4507	cl43152	KefB superfamily	C	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#5 - >emb|CAB3360256.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	225802	165	420	5.31267e-10	62.0351	cl34572	NhaP2 superfamily	C	 - 	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism].
Q#5 - >emb|CAB3360256.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	235410	181	420	3.528e-09	59.0589	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#6 - >emb|CAB3364807.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	445285	130	522	4.79141e-14	73.8284	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#6 - >emb|CAB3364807.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	223104	129	519	1.08723e-13	73.0991	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#6 - >emb|CAB3364807.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	223551	129	328	0.000178366	43.7675	cl43152	KefB superfamily	C	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#6 - >emb|CAB3364807.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	179625	143	265	0.000513572	42.7081	cl32043	PRK03659 superfamily	C	 - 	glutathione-regulated potassium-efflux system protein KefB; Provisional
Q#6 - >emb|CAB3364807.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	428334	103	211	0.00108424	40.9903	cl44534	AbrB superfamily	NC	 - 	Transition state regulatory protein AbrB; Bacillus subtilis respond to a multitude of environmental stimuli by using transcription factors called transition state regulators (TSRs). They play an essential role in cell survival by regulating spore formation, competence, and biofilm development. AbrB is one of the most known TSRs, acting as a pleotropic regulator for over 60 different genes where it directly binds to their promoter or regulatory regions. Many other genes are indirectly controlled by AbrB since it is a regulator of other regulatory proteins, including ScoC, Abh, SinR and SigH. Hence, AbrB is considered a global regulatory protein controlling processes such as Bacillus subtilis growth and cell division as well as production of extracellular degradative enzymes, nitrogen utilization and amino acid metabolism, motility, synthesis of antibiotics and their resistant determinants, development of competence, transport systems, oxidative stress response, phosphate metabolism, cell surface components and sporulation. AbrB is a tetramer consisting of identical 94 residue monomers. Its DNA-binding function resides solely in the N-terminal domain (AbrBN) of 53 residues. Although it does not recognize a well-defined DNA base-pairing sequence, instead, it appears to target a very weak pseudo consensus nucleotide sequence, TGGNA-5bp-TGGNA, which allows it to be rather promiscuous in binding. The N-terminal domains of very similar sequences are present in two more Bacillus subtilis proteins, Abh and SpoVT. Mutagenesis studies suggest that the role of the C-terminal domain is in forming multimers.
Q#6 - >emb|CAB3364807.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	235410	129	329	0.00189529	40.9545	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#7 - >emb|CAB3364808.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	223104	19	431	1.01227e-17	85.0403	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#7 - >emb|CAB3364808.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	445285	29	376	1.22563e-15	78.0656	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#7 - >emb|CAB3364808.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	223551	28	365	1.05627e-06	50.7011	cl43152	KefB superfamily	 - 	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#8 - >emb|CAB3360257.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	223104	136	384	5.84183e-22	96.9815	cl42993	NhaP superfamily	C	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#8 - >emb|CAB3360257.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	445285	144	389	8.12281e-21	93.0884	cl01133	Na_H_Exchanger superfamily	C	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#8 - >emb|CAB3360257.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	223551	129	384	2.56677e-15	76.8947	cl43152	KefB superfamily	C	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#8 - >emb|CAB3360257.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	225802	136	391	7.21672e-10	60.8795	cl34572	NhaP2 superfamily	C	 - 	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism].
Q#8 - >emb|CAB3360257.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	235410	152	391	6.21783e-09	57.9033	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#9 - >emb|CAB3360258.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	223104	165	413	9.19215e-23	99.6779	cl42993	NhaP superfamily	C	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#9 - >emb|CAB3360258.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	445285	173	418	8.59152e-22	96.17	cl01133	Na_H_Exchanger superfamily	C	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#9 - >emb|CAB3360258.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	223551	158	413	3.06615e-16	79.9763	cl43152	KefB superfamily	C	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#9 - >emb|CAB3360258.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	225802	165	420	3.32994e-10	62.0351	cl34572	NhaP2 superfamily	C	 - 	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism].
Q#9 - >emb|CAB3360258.1|[Hypothetical predicted protein [Cloeon dipterum]]	superfamily	235410	181	420	2.72632e-09	59.0589	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#10 - >gb|TRY75264.1|[hypothetical protein TCAL_08307 [Tigriopus californicus]]	superfamily	223104	163	544	7.91032e-27	112.775	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#10 - >gb|TRY75264.1|[hypothetical protein TCAL_08307 [Tigriopus californicus]]	superfamily	445285	160	537	2.62831e-21	95.7848	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
